"D1.source.country","D1.destination.country"
"Moldova","Russia"
"Moldova","Ireland"
"Moldova","Italy"
"Moldova","Germany"
"Moldova","Turkey"
"Moldova","Ukraine"
"Moldova","Cyprus"
"Moldova","Russia"
"Moldova","Portugal"
"Moldova","Italy"
"Moldova","Romania"
"Moldova","Russia"
"Moldova","United Kingdom"
"Moldova","Italy"
"Moldova","Italy"
"Cyprus","Moldova"
"Russia","Moldova"
"Portugal","Moldova"
"Italy","Moldova"
"Romania","Moldova"
"Russia","Moldova"
"United Kingdom","Moldova"
"Italy","Moldova"
"Italy","Moldova"
"Aruba","Venezuela"
"Aruba","Venezuela"
"Venezuela","United States"
"Venezuela","Panama"
"Venezuela","Aruba"
"Venezuela","Netherlands Antilles"
"Netherlands Antilles","Venezuela"
"Venezuela","Aruba"
"United States","Venezuela"
"Panama","Venezuela"
"India","United Arab Emirates"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","Saudi Arabia"
"United Arab Emirates","Kuwait"
"United Arab Emirates","India"
"United Arab Emirates","India"
"Bahrain","India"
"Thailand","India"
"Thailand","India"
"India","United Arab Emirates"
"India","Malaysia"
"India","United Arab Emirates"
"India","Bahrain"
"India","Thailand"
"India","Belgium"
"India","Sri Lanka"
"India","Bangladesh"
"India","Saudi Arabia"
"India","Qatar"
"India","United Arab Emirates"
"India","Hong Kong"
"India","Saudi Arabia"
"India","South Africa"
"India","Nepal"
"India","Malaysia"
"India","Kuwait"
"India","United Kingdom"
"India","Oman"
"India","Kenya"
"India","Japan"
"India","Saudi Arabia"
"India","Singapore"
"Belgium","India"
"Belgium","India"
"Belgium","United States"
"Belgium","Canada"
"India","United Arab Emirates"
"India","Bangladesh"
"Sri Lanka","India"
"India","United Arab Emirates"
"India","Saudi Arabia"
"India","Qatar"
"India","Oman"
"India","United Arab Emirates"
"Bangladesh","India"
"Bangladesh","India"
"Bangladesh","India"
"India","United Arab Emirates"
"India","Thailand"
"India","Belgium"
"India","Bangladesh"
"India","Saudi Arabia"
"India","Qatar"
"India","United Arab Emirates"
"India","Hong Kong"
"India","Nepal"
"India","Malaysia"
"India","United Kingdom"
"India","Singapore"
"Saudi Arabia","United Arab Emirates"
"Saudi Arabia","India"
"Saudi Arabia","India"
"Saudi Arabia","India"
"Saudi Arabia","India"
"Qatar","India"
"Qatar","India"
"Qatar","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United States","Belgium"
"Hong Kong","India"
"Hong Kong","India"
"India","United Arab Emirates"
"Saudi Arabia","India"
"South Africa","India"
"Nepal","India"
"Nepal","India"
"Malaysia","India"
"Malaysia","India"
"Malaysia","India"
"Malaysia","India"
"Kuwait","United Arab Emirates"
"Kuwait","India"
"United Kingdom","India"
"United Kingdom","India"
"India","United Arab Emirates"
"India","Malaysia"
"India","Singapore"
"Oman","India"
"Oman","India"
"Oman","India"
"Kenya","India"
"Japan","India"
"Saudi Arabia","India"
"United Arab Emirates","India"
"Singapore","India"
"Singapore","India"
"Singapore","India"
"India","United Arab Emirates"
"India","Saudi Arabia"
"India","Oman"
"Canada","Belgium"
"Sweden","Greece"
"Sweden","Greece"
"Greece","United Arab Emirates"
"Greece","Spain"
"Greece","Serbia"
"Greece","Belgium"
"Greece","Hungary"
"Greece","Egypt"
"Greece","France"
"Greece","Russia"
"Greece","Germany"
"Greece","Italy"
"Greece","Germany"
"Greece","Switzerland"
"Greece","Egypt"
"Greece","Ukraine"
"Greece","Turkey"
"Greece","Cyprus"
"Greece","Russia"
"Greece","United Kingdom"
"Greece","France"
"Greece","Spain"
"Greece","United Kingdom"
"Greece","France"
"Greece","Germany"
"Greece","Italy"
"Greece","France"
"Greece","Norway"
"Greece","Romania"
"Greece","United States"
"Greece","Czech Republic"
"Greece","Bulgaria"
"Greece","Georgia"
"Greece","Albania"
"Greece","Israel"
"Greece","Germany"
"Greece","Austria"
"Greece","Poland"
"United Arab Emirates","Greece"
"Spain","Greece"
"Serbia","Greece"
"France","Greece"
"Belgium","Greece"
"Belgium","Greece"
"Hungary","Greece"
"Egypt","Greece"
"France","Greece"
"France","Greece"
"France","Greece"
"France","Greece"
"Greece","Russia"
"Denmark","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Italy","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Switzerland","Greece"
"Switzerland","Portugal"
"Germany","Greece"
"Egypt","Greece"
"Greece","France"
"Greece","Belgium"
"Greece","France"
"Greece","Russia"
"Greece","Germany"
"Greece","Germany"
"Greece","Russia"
"Greece","France"
"Greece","Germany"
"Greece","Israel"
"Greece","Germany"
"Greece","Austria"
"Ukraine","Greece"
"Turkey","Greece"
"Greece","Russia"
"Greece","Sweden"
"Greece","Germany"
"Greece","Germany"
"Cyprus","Greece"
"Cyprus","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"Russia","Greece"
"United Kingdom","Greece"
"France","Greece"
"Spain","Greece"
"United Kingdom","Greece"
"France","Greece"
"France","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Italy","Greece"
"France","Greece"
"Germany","Greece"
"Norway","Greece"
"Romania","Greece"
"United States","Greece"
"Czech Republic","Greece"
"Greece","France"
"Greece","Russia"
"Greece","Russia"
"Greece","Sweden"
"Greece","France"
"Greece","Denmark"
"Greece","Russia"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Cyprus"
"Greece","Russia"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Bulgaria","Greece"
"Germany","Greece"
"Georgia","Greece"
"Albania","Greece"
"Israel","Greece"
"Israel","Greece"
"Germany","Greece"
"Germany","Greece"
"Austria","Greece"
"Austria","Greece"
"Poland","Greece"
"Switzerland","Portugal"
"Netherlands","France"
"Netherlands","France"
"France","Switzerland"
"Italy","France"
"France","Italy"
"Belgium","France"
"Belgium","France"
"France","Netherlands"
"Germany","France"
"Italy","France"
"Italy","France"
"Italy","France"
"Italy","France"
"Sweden","France"
"Switzerland","France"
"France","Italy"
"France","Belgium"
"France","Italy"
"France","Italy"
"France","Sweden"
"France","Italy"
"France","Czech Republic"
"France","Italy"
"Italy","France"
"Italy","France"
"France","Belgium"
"France","Germany"
"France","Italy"
"Czech Republic","France"
"France","Netherlands"
"France","Italy"
"Italy","France"
"Netherlands","Georgia"
"Georgia","Russia"
"France","Georgia"
"Russia","Georgia"
"Latvia","Georgia"
"Georgia","Netherlands"
"Georgia","France"
"Georgia","Latvia"
"Georgia","Israel"
"Georgia","Austria"
"Georgia","Russia"
"Israel","Georgia"
"Austria","Georgia"
"Russia","Georgia"
"Russia","Georgia"
"Ghana","United Kingdom"
"Spain","United Kingdom"
"Mexico","United States"
"New Zealand","Australia"
"New Zealand","French Polynesia"
"New Zealand","Australia"
"Jordan","United States"
"Jordan","United States"
"Jordan","Canada"
"Netherlands","United Kingdom"
"Netherlands","United States"
"Antigua and Barbuda","United States"
"Antigua and Barbuda","United States"
"Antigua and Barbuda","United States"
"Sweden","United Kingdom"
"Paraguay","United States"
"Greece","United Kingdom"
"Greece","United States"
"United States","United Kingdom"
"Aruba","United States"
"Aruba","United States"
"Aruba","United States"
"United Arab Emirates","Sri Lanka"
"United Arab Emirates","Germany"
"United Arab Emirates","United States"
"United Arab Emirates","Pakistan"
"United Arab Emirates","United States"
"United Arab Emirates","Pakistan"
"United Arab Emirates","United Kingdom"
"United Arab Emirates","Oman"
"United Arab Emirates","United States"
"United States","United Kingdom"
"Bahrain","Qatar"
"Bahrain","United Kingdom"
"Spain","United States"
"Spain","United Kingdom"
"Spain","United States"
"Spain","United States"
"Bermuda","United States"
"Bermuda","United States"
"Bermuda","United States"
"Barbados","United States"
"Norway","United Kingdom"
"Gambia","Senegal"
"Mexico","United States"
"Thailand","Malaysia"
"Thailand","Japan"
"Italy","United Kingdom"
"India","United Kingdom"
"Australia","New Zealand"
"Australia","United States"
"Colombia","United States"
"Colombia","United States"
"India","United Kingdom"
"United States","Mexico"
"United States","United Kingdom"
"United States","Spain"
"United States","Japan"
"Belgium","United Kingdom"
"Belgium","United States"
"Brazil","United States"
"France","United Kingdom"
"Hungary","United Kingdom"
"United States","United Kingdom"
"Belize","United States"
"Belize","United States"
"Belize","United States"
"Venezuela","United States"
"Venezuela","United States"
"Venezuela","United States"
"Venezuela","Puerto Rico"
"France","United States"
"France","United States"
"France","United States"
"France","Malaysia"
"France","United Kingdom"
"France","United States"
"France","United States"
"France","United States"
"New Zealand","Australia"
"Colombia","United States"
"United States","Antigua and Barbuda"
"United States","Aruba"
"United States","Belize"
"United States","France"
"United States","Mexico"
"United States","Mexico"
"United States","Ireland"
"United States","Italy"
"United States","Bahamas"
"United States","Germany"
"United States","Cayman Islands"
"United States","Brazil"
"United States","United Kingdom"
"United States","Costa Rica"
"United States","Jamaica"
"United States","Mexico"
"United States","Bahamas"
"United States","Turks and Caicos Islands"
"United States","Dominican Republic"
"United States","Mexico"
"United States","Costa Rica"
"United States","Puerto Rico"
"United States","Virgin Islands"
"United States","Netherlands Antilles"
"United States","Saint Lucia"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"Sri Lanka","United Arab Emirates"
"Brazil","United States"
"Denmark","United Kingdom"
"South Africa","United Kingdom"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Netherlands Antilles","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"United States","Bahamas"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"India","United Kingdom"
"United States","United Kingdom"
"United States","Mexico"
"United States","Mexico"
"United States","Australia"
"United States","Colombia"
"United States","Belize"
"United States","Venezuela"
"United States","France"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Argentina"
"United States","Germany"
"United States","Mexico"
"United States","Brazil"
"United States","Brazil"
"United States","Guatemala"
"United States","South Korea"
"United States","United Kingdom"
"United States","Peru"
"United States","Costa Rica"
"United States","Spain"
"United States","Jamaica"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Bahamas"
"United States","Japan"
"United States","Mexico"
"United States","Turks and Caicos Islands"
"United States","Panama"
"United States","Mexico"
"United States","Mexico"
"United States","Honduras"
"United States","El Salvador"
"United States","Chile"
"United States","Mexico"
"United States","Costa Rica"
"United States","Puerto Rico"
"United States","Mexico"
"United States","Mexico"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Mexico"
"Senegal","Gambia"
"Senegal","Spain"
"Qatar","Bahrain"
"Qatar","United States"
"Qatar","United States"
"Qatar","United States"
"Qatar","United States"
"Qatar","United States"
"Dominica","Puerto Rico"
"United States","Canada"
"Ireland","United States"
"Ireland","United States"
"Ireland","United Kingdom"
"Ireland","United States"
"Ireland","United States"
"Germany","United Arab Emirates"
"Germany","United States"
"Germany","United States"
"Germany","United Kingdom"
"Germany","United States"
"Germany","United States"
"Germany","United States"
"United Arab Emirates","United Kingdom"
"Uganda","United Kingdom"
"British Virgin Islands","Puerto Rico"
"Bahamas","United States"
"United States","Hong Kong"
"United States","United Kingdom"
"United States","France"
"Argentina","United States"
"Argentina","United States"
"Argentina","United States"
"Italy","United States"
"Italy","United States"
"Italy","United Kingdom"
"Italy","United States"
"Italy","United States"
"Martinique","United States"
"Martinique","Puerto Rico"
"United States","Haiti"
"Bahamas","United States"
"Bahamas","United States"
"Germany","United States"
"Germany","United States"
"Germany","Malaysia"
"Germany","United Kingdom"
"Germany","United States"
"Cayman Islands","United States"
"Cayman Islands","United States"
"Cayman Islands","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Bahamas","United States"
"Gibraltar","United Kingdom"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"United Kingdom","United States"
"Grenada","United States"
"Sweden","United Kingdom"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"Brazil","United States"
"Guatemala","United States"
"Guatemala","United States"
"Switzerland","United Kingdom"
"Ecuador","United States"
"Ecuador","United States"
"Germany","United Kingdom"
"Germany","United Kingdom"
"Vietnam","Japan"
"Finland","United States"
"Finland","United Kingdom"
"Finland","United Kingdom"
"Hong Kong","United States"
"Hong Kong","United States"
"Hong Kong","United States"
"Hong Kong","Japan"
"Hong Kong","United States"
"Hong Kong","United States"
"Mexico","United States"
"Japan","United States"
"Japan","United States"
"United States","Japan"
"United States","Japan"
"United States","Japan"
"United States","Japan"
"United States","Australia"
"United States","United Arab Emirates"
"United States","Qatar"
"United States","United Kingdom"
"United States","Qatar"
"United States","United Kingdom"
"South Korea","United States"
"South Korea","Japan"
"Pakistan","United Arab Emirates"
"Turkey","United Kingdom"
"United States","Jordan"
"United States","Antigua and Barbuda"
"United States","United Arab Emirates"
"United States","Spain"
"United States","Bermuda"
"United States","Venezuela"
"United States","France"
"United States","Mexico"
"United States","Qatar"
"United States","Ireland"
"United States","Germany"
"United States","Argentina"
"United States","Italy"
"United States","Brazil"
"United States","Brazil"
"United States","Ecuador"
"United States","Finland"
"United States","Hong Kong"
"United States","United Kingdom"
"United States","United Kingdom"
"United States","Peru"
"United States","Spain"
"United States","United Kingdom"
"United States","Italy"
"United States","Japan"
"United States","France"
"United States","Haiti"
"United States","Chile"
"United States","Costa Rica"
"United States","Puerto Rico"
"United States","Virgin Islands"
"United States","Netherlands Antilles"
"United States","Germany"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Switzerland"
"South Africa","United Kingdom"
"Taiwan","Japan"
"Jamaica","United States"
"Japan","United States"
"Malaysia","Thailand"
"Malaysia","France"
"Malaysia","Germany"
"Malaysia","United Kingdom"
"Malaysia","Japan"
"Malaysia","Singapore"
"Kuwait","United Kingdom"
"United States","United Kingdom"
"United States","United Kingdom"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Australia"
"United States","Germany"
"United States","Mexico"
"United States","Brazil"
"United States","Hong Kong"
"United States","United Kingdom"
"United States","Peru"
"United States","Spain"
"United States","Australia"
"United States","Mexico"
"United States","Fiji"
"United States","Japan"
"United States","French Polynesia"
"United States","China"
"United States","Mexico"
"United States","Australia"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"Cyprus","United Kingdom"
"United States","Canada"
"United States","Canada"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","United States"
"Pakistan","United Arab Emirates"
"United Kingdom","Ghana"
"United Kingdom","Spain"
"United Kingdom","Netherlands"
"United Kingdom","Sweden"
"United Kingdom","Greece"
"United Kingdom","United States"
"United Kingdom","United Arab Emirates"
"United Kingdom","United States"
"United Kingdom","Bahrain"
"United Kingdom","Spain"
"United Kingdom","Norway"
"United Kingdom","Italy"
"United Kingdom","India"
"United Kingdom","India"
"United Kingdom","United States"
"United Kingdom","Belgium"
"United Kingdom","France"
"United Kingdom","Hungary"
"United Kingdom","United States"
"United Kingdom","France"
"United Kingdom","United States"
"United Kingdom","Denmark"
"United Kingdom","South Africa"
"United Kingdom","India"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","Ireland"
"United Kingdom","Germany"
"United Kingdom","United Arab Emirates"
"United Kingdom","Uganda"
"United Kingdom","United States"
"United Kingdom","Italy"
"United Kingdom","Germany"
"United Kingdom","Gibraltar"
"United Kingdom","Sweden"
"United Kingdom","Switzerland"
"United Kingdom","Germany"
"United Kingdom","Germany"
"United Kingdom","Finland"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","Turkey"
"United Kingdom","United States"
"United Kingdom","South Africa"
"United Kingdom","Malaysia"
"United Kingdom","Kuwait"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","Cyprus"
"United Kingdom","Italy"
"United Kingdom","Portugal"
"United Kingdom","Luxembourg"
"United Kingdom","France"
"United Kingdom","India"
"United Kingdom","United States"
"United Kingdom","France"
"United Kingdom","Germany"
"United Kingdom","Italy"
"United Kingdom","Kenya"
"United Kingdom","France"
"United Kingdom","United States"
"United Kingdom","Norway"
"United Kingdom","Romania"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","Czech Republic"
"United Kingdom","Italy"
"United Kingdom","United States"
"United Kingdom","Netherlands"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","Bulgaria"
"United Kingdom","Germany"
"United Kingdom","Norway"
"United Kingdom","France"
"United Kingdom","Germany"
"United Kingdom","Italy"
"United Kingdom","Austria"
"United Kingdom","Poland"
"United Kingdom","Canada"
"United Kingdom","Canada"
"United Kingdom","Canada"
"United Kingdom","Canada"
"United Kingdom","Croatia"
"United Kingdom","Switzerland"
"Peru","United States"
"Peru","United States"
"Peru","United States"
"Peru","United States"
"Peru","Chile"
"Italy","United Kingdom"
"Costa Rica","United States"
"Costa Rica","United States"
"Costa Rica","United States"
"Portugal","United Kingdom"
"Portugal","United States"
"Dominican Republic","United States"
"Luxembourg","United Kingdom"
"France","United Kingdom"
"India","United Kingdom"
"Spain","United States"
"Spain","United States"
"Spain","United States"
"Spain","United States"
"Spain","United States"
"Spain","United States"
"Spain","United States"
"United Kingdom","Finland"
"United Kingdom","United States"
"United Kingdom","United States"
"United Kingdom","United States"
"Brazil","United States"
"Venezuela","United States"
"Jamaica","United States"
"Jamaica","United States"
"Jamaica","United States"
"Jamaica","United States"
"Jamaica","United States"
"United States","Brazil"
"United States","United Kingdom"
"United States","Canada"
"Oman","United Arab Emirates"
"Colombia","United States"
"Australia","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Nicaragua","United States"
"Bahamas","United States"
"United States","Antigua and Barbuda"
"United States","Paraguay"
"United States","Aruba"
"United States","Spain"
"United States","Bermuda"
"United States","Barbados"
"United States","Colombia"
"United States","Brazil"
"United States","Belize"
"United States","Venezuela"
"United States","France"
"United States","Colombia"
"United States","Brazil"
"United States","Mexico"
"United States","Netherlands Antilles"
"United States","Brazil"
"United States","Mexico"
"United States","Germany"
"United States","Bahamas"
"United States","Argentina"
"United States","Martinique"
"United States","Bahamas"
"United States","Cayman Islands"
"United States","Bahamas"
"United States","Brazil"
"United States","Grenada"
"United States","Brazil"
"United States","Guatemala"
"United States","Ecuador"
"United States","Jamaica"
"United States","United Kingdom"
"United States","Peru"
"United States","Costa Rica"
"United States","Bolivia"
"United States","Dominican Republic"
"United States","Spain"
"United States","Brazil"
"United States","Venezuela"
"United States","Jamaica"
"United States","Colombia"
"United States","Mexico"
"United States","Nicaragua"
"United States","Bahamas"
"United States","Uruguay"
"United States","Italy"
"United States","Bahamas"
"United States","Haiti"
"United States","Turks and Caicos Islands"
"United States","Dominican Republic"
"United States","Trinidad and Tobago"
"United States","Guadeloupe"
"United States","Panama"
"United States","Dominican Republic"
"United States","Brazil"
"United States","Honduras"
"United States","El Salvador"
"United States","Honduras"
"United States","Chile"
"United States","Dominican Republic"
"United States","Costa Rica"
"United States","Puerto Rico"
"United States","Saint Kitts and Nevis"
"United States","Brazil"
"United States","Dominican Republic"
"United States","Virgin Islands"
"United States","Virgin Islands"
"United States","Netherlands Antilles"
"United States","Honduras"
"United States","Germany"
"United States","Ecuador"
"United States","Saint Lucia"
"United States","Canada"
"United States","Canada"
"Mexico","United States"
"France","United Kingdom"
"Mexico","United States"
"Germany","United Kingdom"
"Germany","United States"
"Uruguay","United States"
"Italy","United States"
"Italy","United Kingdom"
"Italy","United States"
"Mexico","United States"
"Mexico","United States"
"Fiji","United States"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"Kenya","United Kingdom"
"France","United Kingdom"
"Japan","United States"
"Japan","Thailand"
"Japan","United States"
"Japan","United States"
"Japan","Vietnam"
"Japan","Hong Kong"
"Japan","United States"
"Japan","South Korea"
"Japan","United States"
"Japan","Taiwan"
"Japan","Malaysia"
"Japan","United States"
"Japan","United States"
"Japan","South Korea"
"Japan","United States"
"Japan","Vietnam"
"Japan","Singapore"
"Japan","Taiwan"
"Japan","Canada"
"United States","Jordan"
"United States","United Arab Emirates"
"United States","France"
"United States","Mexico"
"United States","Qatar"
"United States","Ireland"
"United States","Germany"
"United States","Italy"
"United States","Hong Kong"
"United States","United Kingdom"
"United States","Spain"
"United States","United Kingdom"
"United States","Jamaica"
"United States","Mexico"
"United States","Japan"
"United States","China"
"United States","China"
"United States","Mexico"
"United States","Mexico"
"United States","Puerto Rico"
"United States","Germany"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"France","United States"
"France","United States"
"Norway","United Kingdom"
"Romania","United Kingdom"
"Haiti","United States"
"Haiti","United States"
"Haiti","United States"
"Mexico","United States"
"United States","Canada"
"China","United States"
"China","United States"
"United States","Netherlands"
"United States","Greece"
"United States","Aruba"
"United States","Spain"
"United States","Bermuda"
"United States","Belgium"
"United States","France"
"United States","Mexico"
"United States","Qatar"
"United States","Ireland"
"United States","Italy"
"United States","Germany"
"United States","Cayman Islands"
"United States","United Kingdom"
"United States","United Kingdom"
"United States","Portugal"
"United States","Spain"
"United States","United Kingdom"
"United States","Jamaica"
"United States","Germany"
"United States","Bahamas"
"United States","Turks and Caicos Islands"
"United States","Dominican Republic"
"United States","Dominican Republic"
"United States","Puerto Rico"
"United States","Virgin Islands"
"United States","Netherlands Antilles"
"United States","Israel"
"United States","Italy"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Switzerland"
"United States","Mexico"
"United States","Mexico"
"United States","United Kingdom"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Canada"
"United States","Canada"
"United States","Canada"
"United States","Mexico"
"Turks and Caicos Islands","United States"
"Turks and Caicos Islands","United States"
"Turks and Caicos Islands","United States"
"Turks and Caicos Islands","United States"
"Brazil","United States"
"Dominican Republic","United States"
"Trinidad and Tobago","United States"
"French Polynesia","New Zealand"
"French Polynesia","United States"
"Czech Republic","United Kingdom"
"Italy","United Kingdom"
"Guadeloupe","United States"
"Guadeloupe","Puerto Rico"
"Panama","United States"
"Panama","United States"
"Dominican Republic","United States"
"Dominican Republic","United States"
"Dominican Republic","United States"
"South Korea","Japan"
"China","United States"
"China","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"United States","United Kingdom"
"Brazil","United States"
"United States","Germany"
"Honduras","United States"
"Honduras","United States"
"Netherlands","United Kingdom"
"El Salvador","United States"
"El Salvador","United States"
"United States","United Kingdom"
"United States","Japan"
"United States","Mexico"
"United States","Canada"
"Honduras","United States"
"Chile","United States"
"Chile","United States"
"Chile","Peru"
"Chile","United States"
"Dominican Republic","United States"
"Dominican Republic","United States"
"United States","United Kingdom"
"United States","China"
"United States","Canada"
"United States","Hong Kong"
"United States","Japan"
"United States","United Kingdom"
"United States","Mexico"
"Vietnam","Japan"
"Singapore","Malaysia"
"Singapore","Japan"
"United States","Mexico"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Costa Rica","United States"
"Costa Rica","United States"
"Costa Rica","United States"
"Costa Rica","United States"
"Puerto Rico","Venezuela"
"Puerto Rico","United States"
"Puerto Rico","United States"
"Puerto Rico","Dominica"
"Puerto Rico","British Virgin Islands"
"Puerto Rico","Martinique"
"Puerto Rico","United States"
"Puerto Rico","United States"
"Puerto Rico","United States"
"Puerto Rico","United States"
"Puerto Rico","Guadeloupe"
"Puerto Rico","British Virgin Islands"
"Saint Kitts and Nevis","United States"
"Mexico","United States"
"Bulgaria","United Kingdom"
"Brazil","United States"
"Dominican Republic","United States"
"Germany","United Kingdom"
"Virgin Islands","United States"
"Virgin Islands","United States"
"Virgin Islands","United States"
"Virgin Islands","United States"
"Virgin Islands","United States"
"Norway","United Kingdom"
"Netherlands Antilles","United States"
"Netherlands Antilles","United States"
"Netherlands Antilles","United States"
"Netherlands Antilles","United States"
"Australia","New Zealand"
"Australia","New Zealand"
"Australia","United States"
"Australia","United States"
"Australia","United States"
"Honduras","United States"
"France","United Kingdom"
"Israel","United States"
"United States","United Kingdom"
"Taiwan","Japan"
"Mexico","United States"
"Germany","United States"
"Germany","United Kingdom"
"Germany","United States"
"Germany","United States"
"Ecuador","United States"
"Saint Lucia","United States"
"Saint Lucia","United States"
"Italy","United Kingdom"
"Italy","United States"
"Austria","United Kingdom"
"British Virgin Islands","Puerto Rico"
"Bolivia","United States"
"Poland","United Kingdom"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","Jordan"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United Kingdom"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United Kingdom"
"Canada","Japan"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United Kingdom"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United Kingdom"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Canada","United States"
"Croatia","United Kingdom"
"Mexico","United States"
"Mexico","United States"
"Switzerland","United States"
"Switzerland","United Kingdom"
"Switzerland","United States"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Switzerland"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Austria"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Switzerland"
"Jordan","Germany"
"Jordan","Germany"
"Jordan","Germany"
"Jordan","Austria"
"Sweden","Germany"
"Sweden","Austria"
"United Arab Emirates","Bahrain"
"United Arab Emirates","Germany"
"United Arab Emirates","Germany"
"United Arab Emirates","Thailand"
"United Arab Emirates","Germany"
"United Arab Emirates","China"
"United Arab Emirates","Singapore"
"United Arab Emirates","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Bahrain","United Arab Emirates"
"Spain","Germany"
"Spain","Germany"
"Spain","Austria"
"Italy","Germany"
"Italy","Switzerland"
"Serbia","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Australia","Singapore"
"Germany","Spain"
"Italy","Germany"
"France","Italy"
"France","Greece"
"France","Spain"
"France","United Kingdom"
"France","Spain"
"France","Spain"
"France","Spain"
"Hungary","Germany"
"Italy","Germany"
"Italy","Germany"
"France","Austria"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Austria"
"Germany","Spain"
